# 格式:单词 | 正确次数 | 错误次数
agriculture|1|0
behaviour|1|0
benefit|0|0
building|0|0
business|0|0
certificate|0|0
chemical|1|0
climate|0|0
college|0|0
commercial|0|0
communication|0|0
complex|0|0
computing|2|0
conference|1|0
conservation|0|0
contract|0|0
culture|0|0
declining|0|0
depression|0|0
depth|0|0
economic|0|0
economy|0|0
efficiency|1|0
efficient|0|0
electrical|0|0
energy|0|0
engineering|0|0
environment|0|0
estimate|0|1
expectation|0|0
experience|0|0
flooding|1|0
food|0|0
forest|0|0
freedom|0|0
frequency|0|0
gender|1|0
genetic|0|0
health|1|0
immune|0|0
impact|0|0
income|1|0
industry|0|0
insurance|0|0
interaction|0|0
interview|0|0
job|0|0
journalism|0|0
laboratory|0|0
learning|0|0
light|1|0
mapping|0|0
market|1|0
material|1|1
migration|1|0
mobility|0|0
modern|1|0
negative|0|0
obligation|0|0
organic|0|0
packaging|0|0
participation|0|0
pattern|0|0
pollution|0|0
population|0|0
poverty|0|0
process|0|0
profit|1|0
protection|0|0
purpose|0|0
qualification|1|1
quality|0|0
reaction|1|0
reason|0|0
recording|0|0
reduction|0|0
reliable|0|0
resource|1|0
risk|1|0
school|0|0
science|0|0
scientific|0|0
security|0|0
sediment|0|0
shipping|0|0
social|0|0
solution|0|0
stress|0|0
survey|0|0
survival|0|0
technology|0|0
temperature|0|0
threat|0|0
trade|1|0
traditional|0|0
traffic|1|0
transport|0|0
transportation|1|0
trend|0|0
university|0|0
variable|0|0
water|1|0
weather|0|0
wood|0|0
