# 格式:单词 | 正确次数 | 错误次数
benefit|2|0
building|1|1
business|0|1
certificate|1|0
chemical|1|0
climate|1|0
communication|1|0
complex|2|0
computing|0|1
conference|1|0
contract|1|0
depression|1|0
depth|0|1
economic|1|0
economy|0|1
efficiency|1|1
energy|1|0
environment|1|0
estimate|1|0
expectation|1|1
flooding|1|0
food|0|1
forest|1|0
frequency|1|0
gender|2|0
genetic|0|1
health|1|0
immune|1|0
impact|2|0
income|1|0
industry|1|0
interaction|2|0
interview|1|1
job|1|0
light|2|0
mapping|0|1
market|1|0
material|1|0
mobility|1|0
obligation|1|0
organic|1|0
packaging|1|0
participation|0|1
pattern|1|0
pollution|1|0
population|1|0
profit|2|1
purpose|0|1
qualification|1|0
quality|1|0
reaction|1|0
reason|1|0
recording|1|0
resource|1|0
risk|1|0
school|1|1
science|1|0
scientific|1|0
security|1|1
sediment|1|1
shipping|2|0
social|2|0
solution|1|0
survey|1|0
technology|1|0
temperature|1|0
threat|0|1
trade|1|0
traditional|1|0
traffic|1|0
transportation|2|0
trend|2|0
variable|1|0
